	INPUT:title	INPUT:coupon	INPUT:screenshot	INPUT:assignment_id	INPUT:coupon_available	INPUT:path	OUTPUT:result	OUTPUT:assignment_id	GOLDEN:result	GOLDEN:assignment_id	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
10			https://yang.s3.yandex.net/assignment_0001f48c86--624e241bd4c85d389701837e/microsoft.b9bdaaff-cef5-4dcf-be08-88844bb80b85.png	"""0001f48c86--624e241bd4c85d389701837e"""	No	https://www.pureromance.com	Yes	"""0001f48c86--624e241bd4c85d389701837e"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff344b78d4361c3e1a033	0001f4d961--624ff344b78d4361c3e1a033	5036447ad3003d913ae4072b4f455f99	APPROVED	2022-04-08T08:33:08.660
11			https://yang.s3.yandex.net/assignment_0001f48c86--624df7a002dd46051b2d77d7/microsoft.31707b75-6678-4ca4-be9c-a1f7d7f4ab18.jpeg	"""0001f48c86--624df7a002dd46051b2d77d7"""	No	https://www.gun.deals	Yes	"""0001f48c86--624df7a002dd46051b2d77d7"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff33c7755165916a409e5	0001f4d961--624ff33c7755165916a409e5	e73bedd2775a795bd89c7ebc37ddbb69	APPROVED	2022-04-08T08:33:00.476
12			https://yang.s3.yandex.net/assignment_0001f48c86--624df7a002dd46051b2d77d7/microsoft.31707b75-6678-4ca4-be9c-a1f7d7f4ab18.jpeg	"""0001f48c86--624df7a002dd46051b2d77d7"""	No	https://www.gun.deals	Yes	"""0001f48c86--624df7a002dd46051b2d77d7"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff343c1a2380538690daa	0001f4d961--624ff343c1a2380538690daa	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:33:07.380
13			https://yang.s3.yandex.net/assignment_0001f48c86--624df7a002dd46051b2d77d7/microsoft.31707b75-6678-4ca4-be9c-a1f7d7f4ab18.jpeg	"""0001f48c86--624df7a002dd46051b2d77d7"""	No	https://www.gun.deals	Yes	"""0001f48c86--624df7a002dd46051b2d77d7"""					https://toloka.yandex.ru/task/32823649/0001f4d961--624ff344b78d4361c3e1a033	0001f4d961--624ff344b78d4361c3e1a033	5036447ad3003d913ae4072b4f455f99	APPROVED	2022-04-08T08:33:08.660
14	Free Shipping* Over $99	FREE99	https://yang.s3.yandex.net/assignment_0001f48c86--624e20aef530090b52aee007/microsoft.7ec48070-0872-465f-948e-7bfd6cfb17aa.jpg	"""0001f48c86--624e20aef530090b52aee007"""	Yes	https://www.cheapcycleparts.com	Yes	"""0001f48c86--624e20aef530090b52aee007"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff343c1a2380538690daa	0001f4d961--624ff343c1a2380538690daa	b43c4e574acb4f57e6692cf3f9d3202c	APPROVED	2022-04-08T08:33:07.380
15	Free Shipping* Over $99	FREE99	https://yang.s3.yandex.net/assignment_0001f48c86--624e20aef530090b52aee007/microsoft.7ec48070-0872-465f-948e-7bfd6cfb17aa.jpg	"""0001f48c86--624e20aef530090b52aee007"""	Yes	https://www.cheapcycleparts.com	Yes	"""0001f48c86--624e20aef530090b52aee007"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff3558ff20d5d4b7e7b86	0001f4d961--624ff3558ff20d5d4b7e7b86	5036447ad3003d913ae4072b4f455f99	APPROVED	2022-04-08T08:33:25.425
16	Free Shipping* Over $99	FREE99	https://yang.s3.yandex.net/assignment_0001f48c86--624e20aef530090b52aee007/microsoft.7ec48070-0872-465f-948e-7bfd6cfb17aa.jpg	"""0001f48c86--624e20aef530090b52aee007"""	Yes	https://www.cheapcycleparts.com	Yes	"""0001f48c86--624e20aef530090b52aee007"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff3c90ef8f154ecfae9f2	0001f4d961--624ff3c90ef8f154ecfae9f2	ef6b686b332d5b2b1c442ed6fef9dd55	APPROVED	2022-04-08T08:35:21.718
17	Free Shipping* Over $99	FREE99	https://yang.s3.yandex.net/assignment_0001f48c86--624e20aef530090b52aee007/microsoft.7ec48070-0872-465f-948e-7bfd6cfb17aa.jpg	"""0001f48c86--624e20aef530090b52aee007"""	Yes	https://www.cheapcycleparts.com	Yes	"""0001f48c86--624e20aef530090b52aee007"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff39b0ef8f154ecfae752	0001f4d961--624ff39b0ef8f154ecfae752	0a3011ddbd2447f18d3be66264101522	APPROVED	2022-04-08T08:34:35.990
18	Free Shipping* Over $99	FREE99	https://yang.s3.yandex.net/assignment_0001f48c86--624e20aef530090b52aee007/microsoft.7ec48070-0872-465f-948e-7bfd6cfb17aa.jpg	"""0001f48c86--624e20aef530090b52aee007"""	Yes	https://www.cheapcycleparts.com	Yes	"""0001f48c86--624e20aef530090b52aee007"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff408a78b820c6c2b6e5b	0001f4d961--624ff408a78b820c6c2b6e5b	21940eaf17fbea807b7e574278a14adb	APPROVED	2022-04-08T08:36:24.730
19	Free Shipping* Over $99	FREE99	https://yang.s3.yandex.net/assignment_0001f48c86--624e20aef530090b52aee007/microsoft.7ec48070-0872-465f-948e-7bfd6cfb17aa.jpg	"""0001f48c86--624e20aef530090b52aee007"""	Yes	https://www.cheapcycleparts.com	Yes	"""0001f48c86--624e20aef530090b52aee007"""	Yes				https://toloka.yandex.ru/task/32823649/0001f4d961--624ff42731bfa02892328adb	0001f4d961--624ff42731bfa02892328adb	240f2139678ae981be5af88a654a6cc2	APPROVED	2022-04-08T08:36:55.280
